Waf: Entering directory `/home/fk/ns-3.29/bake/source/ns-3.29/build'
[2603/2653] Compiling scratch/vanet3-p2p.cc
[2612/2653] Linking build/scratch/vanet3-p2p
Waf: Leaving directory `/home/fk/ns-3.29/bake/source/ns-3.29/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (8.231s)
n
n
n
n
n
n
n
n
n
n
n
Promiscuous, NodeId, 20, , from, 02-06-00:00:00:00:00:16, uid, 120, RXtime, +2013926440.0ns,
Promiscuous, NodeId, 22, , from, 02-06-00:00:00:00:00:16, uid, 120, RXtime, +2013926440.0ns,
Promiscuous, NodeId, 25, , from, 02-06-00:00:00:00:00:16, uid, 120, RXtime, +2013926441.0ns,
Promiscuous, NodeId, 27, , from, 02-06-00:00:00:00:00:16, uid, 120, RXtime, +2013926441.0ns,
Promiscuous, NodeId, 23, , from, 02-06-00:00:00:00:00:16, uid, 120, RXtime, +2013926607.0ns,
Promiscuous, NodeId, 28, , from, 02-06-00:00:00:00:00:16, uid, 120, RXtime, +2013926607.0ns,
Promiscuous, NodeId, 14, , from, 02-06-00:00:00:00:00:14, uid, 124, RXtime, +2017185734.0ns,
Promiscuous, NodeId, 18, , from, 02-06-00:00:00:00:00:14, uid, 124, RXtime, +2017185884.0ns,
Promiscuous, NodeId, 13, , from, 02-06-00:00:00:00:00:14, uid, 124, RXtime, +2017185885.0ns,
Promiscuous, NodeId, 12, , from, 02-06-00:00:00:00:00:14, uid, 124, RXtime, +2017186051.0ns,
Promiscuous, NodeId, 11, , from, 02-06-00:00:00:00:00:11, uid, 128, RXtime, +2032051940.0ns,
Promiscuous, NodeId, 15, , from, 02-06-00:00:00:00:00:11, uid, 128, RXtime, +2032052090.0ns,
Promiscuous, NodeId, 17, , from, 02-06-00:00:00:00:00:11, uid, 128, RXtime, +2032052090.0ns,
Promiscuous, NodeId, 10, , from, 02-06-00:00:00:00:00:11, uid, 128, RXtime, +2032052091.0ns,
Promiscuous, NodeId, 12, , from, 02-06-00:00:00:00:00:11, uid, 128, RXtime, +2032052091.0ns,
